epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,899.118,0.64568,0.27621,0.06481,0.42762,0.8857,0.94651,0.93097,0.96313,0.81049,0.95794,0.94216,0.97603,0.92073,0.67573,0.26966,0.43721,0.48609,0.93084,0.0008252,0.0008252,0.0008252
91,909.22,0.6266,0.2643,0.05671,0.41341,0.87108,0.94132,0.89783,0.94889,0.78817,0.95501,0.91089,0.96626,0.91394,0.68078,0.25579,0.48323,0.54928,0.93513,0.000812,0.000812,0.000812
92,918.771,0.6322,0.27488,0.05651,0.41765,0.88591,0.93785,0.92903,0.96034,0.80858,0.94915,0.94023,0.97289,0.91728,0.68626,0.25769,0.45836,0.50795,0.93043,0.0007988,0.0007988,0.0007988
93,927.966,0.64049,0.28202,0.06512,0.41062,0.88241,0.94315,0.9285,0.95879,0.80265,0.9564,0.94137,0.97503,0.9183,0.71378,0.25401,0.48865,0.49466,0.93802,0.0007856,0.0007856,0.0007856
94,937.3,0.64461,0.26128,0.05067,0.41683,0.87517,0.91344,0.9291,0.95029,0.78843,0.92476,0.9401,0.96375,0.90748,0.73299,0.26947,0.47022,0.59201,0.95353,0.0007724,0.0007724,0.0007724
95,946.502,0.6129,0.25061,0.05557,0.41095,0.867,0.92458,0.93776,0.95951,0.80273,0.93378,0.94709,0.97139,0.91665,0.69572,0.27137,0.45731,0.52441,0.94573,0.0007592,0.0007592,0.0007592
96,955.908,0.63013,0.27301,0.06677,0.41988,0.87259,0.91289,0.89943,0.94591,0.78321,0.92988,0.91604,0.96449,0.9076,0.71526,0.26301,0.43932,0.57044,0.95076,0.000746,0.000746,0.000746
97,965.258,0.63546,0.26312,0.06137,0.41537,0.8748,0.88479,0.88836,0.92192,0.76122,0.90773,0.89938,0.9432,0.89173,0.74542,0.27519,0.39359,0.78661,0.96182,0.0007328,0.0007328,0.0007328
98,974.724,0.61508,0.26584,0.05817,0.39847,0.86888,0.93974,0.91418,0.95205,0.80139,0.95125,0.92537,0.9678,0.91117,0.70388,0.2692,0.47281,0.58161,0.93906,0.0007196,0.0007196,0.0007196
99,984.531,0.62672,0.25923,0.05641,0.42165,0.86375,0.92647,0.9168,0.9472,0.79857,0.93778,0.92794,0.96495,0.91324,0.69723,0.24945,0.48359,0.55593,0.92704,0.0007064,0.0007064,0.0007064
